type;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1;7.4;0.7;0;1.9;0.076;11;34;0.9978;3.51;0.56;9.4;0
1;7.8;0.88;0;2.6;0.098;25;67;0.9968;3.2;0.68;9.8;0
1;7.8;0.76;0.04;2.3;0.092;15;54;0.997;3.26;0.65;9.8;0
1;7.9;0.32;0.51;1.8;0.341;17;56;0.9969;3.04;1.08;9.2;1
1;8.9;0.22;0.48;1.8;0.077;29;60;0.9968;3.39;0.53;9.4;1
1;6.9;0.685;0;2.5;0.105;22;37;0.9966;3.46;0.57;10.6;1
2;6.5;0.24;0.19;1.2;0.041;30;111;0.99254;2.99;0.46;9.4;1
2;5.5;0.29;0.3;1.1;0.022;20;110;0.98869;3.34;0.38;12.8;1
2;6;0.21;0.38;0.8;0.02;22;98;0.98941;3.26;0.32;11.8;1
2;6;0.59;0;0.8;0.037;30;95;0.99032;3.1;0.4;10.9;0
2;5.8;0.3;0.09;6.3;0.042;36;138;0.99382;3.15;0.48;9.7;0
2;5.6;0.3;0.1;6.4;0.043;34;142;0.99382;3.14;0.48;9.8;0